StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q2,intro.1,CheckNo1,CheckNo1Wrong,CheckNo2,CheckNo2Wrong,RoomHouse.intro,RoomHouse.CryWalk_1,RoomHouse.CellphoneS_1,RoomHouse.NoHelpBoxe_1,RoomHouse.GroceriesS_1,RoomHouse.MedicineCo_1,RoomHouse.FindGift_1,sib.intro,Sib.CryingWalk_1,Sib.CellphoneStorySi_1,Sib.NoHelpBoxes_1,Sib.GroceriesSurgery_1,Sib.MedicineCold_1,sib.FindGift_1,FatherChild.Intro,FatherChild.CryingWa_1,FatherChild.Cellphon_1,FatherChild.NoHelpBo_1,FatherChild.Grocerie_1,FatherChild.Medicine_1,FatherChild.FindGift_1,MotherChild.Intro,MotherChild.CryingWa_1,MotherChild.Cellphon_1,MotherChild.NoHelpBo_1,MotherChild.Grocerie_1,MotherChild.Medicine_1,MotherChild.FindGift_1,Romance.Intro,Romance.CryingWalk_1,Romance.CellphoneSto_1,Romance.NoHelpBoxes_1,Romance.GroceriesSur_1,Romance.MedicineCold_1,Romance.FindGift_1,Friends.Intro,Friends.CryingWalk_1,Friends.CellphoneSto_1,Friends.NoHelpBoxes_1,Friends.GroceriesSur_1,Friends.MedicineCold_1,Friends.FindGift_1,EmployBoss.Intro,EmployBoss.CryingWal_1,EmployBoss.Cellphone_1,EmployBoss.NoHelpBox_1,EmployBoss.Groceries_1,EmployBoss.MedicineC_1,EmployBoss.FindGift_1,Team.Intro,Team.CryingWalk_1,Team.CellphoneStory_4,Team.NoHelpBoxes_1,Team.GroceriesSurger_1,Team.MedicineCold_2,Team.FindGift_1,FWB.Intro,FWB.CryingWalk_1,FWB.CellphoneStory_1,FWB.NoHelpBoxes_1,FWB.GroceriesSurgery_1,FWB.MedicineCold_1,FWB.FindGift_1,Strange.Intro,Strange.CryingWalk_1,Strange.CellphoneSto_1,Strange.NoHelpBoxes_1,Strange.GroceriesSur_1,Strange.MedicineCold_1,Strange.FindGift_1,Q90,IB.Kidney,IB.Planet,IB.FailHelp,IB.Donate,IB.Leg,IH.HarmHelp,IH.Political,IH.Torture,IH.CollatDamage,CheckNo3,L.RoomHous.Groceries_1,L.RoomHous.FindGift_1,L.RoomHous.MedicineC_1,Q337_1,Q338_1,Q339_1,Q349_1,Q350_1,Q351_1,Q352_1,Q353_1,Q354_1,Q355_1,Q356_1,Q357_1,Q361_1,Q362_1,Q363_1,Q358_1,Q359_1,Q360_1,Q346_1,Q347_1,Q348_1,Q340_1,Q341_1,Q342_1,Q343_1,Q344_1,Q345_1,Q211,GollwitzerMeasure_1,GollwitzerMeasure_2,GollwitzerMeasure_3,GollwitzerMeasure_4,GollwitzerMeasure_5,GollwitzerMeasure_6,Covid.Responsibility,Covid.Threat.Persona,Covid.Threat.Comm,Q365,Q366,Q366_7_TEXT,Q367,Q368,Q368_9_TEXT,Q370,Q371,Q170,Q372,Q373,Q183,Q380,Bot.CheckFriday,Bot.CheckFriday2,Q16,Q17,Q67,Random ID
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Informed.Consent,intro.1,CheckNo1,CheckNo1Wrong,CheckNo2,CheckNo2Wrong,RoomHouse.intro,RoomHouse.CryingWalk - 1,RoomHouse.CellphoneStory - 1,RoomHouse.NoHelpBoxes - 1,RoomHouse.GroceriesSurgery - 1,RoomHouse.MedicineCold - 1,RoomHouse.FindGift - 1,sib.intro,Sib.CryingWalk - 1,Sib.CellphoneStory - 1,Sib.NoHelpBoxes - 1,Sib.GroceriesSurgery - 1,Sib.MedicineCold - 1,sib.FindGift - 1,FatherChild.Intro,FatherChild.CryingWalk - 1,FatherChild.CellphoneStory - 1,FatherChild.NoHelpBoxes - 1,FatherChild.GroceriesSurgery - 1,FatherChild.MedicineCold - 1,FatherChild.FindGift - 1,MotherChild.Intro,MotherChild.CryingWalk - 1,MotherChild.CellphoneStory - 1,MotherChild.NoHelpBoxes - 1,MotherChild.GroceriesSurgery - 1,MotherChild.MedicineCold - 1,MotherChild.FindGift - 1,Romance.Intro,Romance.CryingWalk - 1,Romance.CellphoneStory - 1,Romance.NoHelpBoxes - 1,Romance.GroceriesSurgery - 1,Romance.MedicineCold - 1,Romance.FindGift - 1,Friends.Intro,Friends.CryingWalk - 1,Friends.CellphoneStory - 1,Friends.NoHelpBoxes - 1,Friends.GroceriesSurgery - 1,Friends.MedicineCold - 1,Friends.FindGift - 1,EmployBoss.Intro,EmployBoss.CryingWalk - 1,EmployBoss.CellphoneStory - 1,EmployBoss.NoHelpBoxes - 1,EmployBoss.GroceriesSurgery - 1,EmployBoss.MedicineCold - 1,EmployBoss.FindGift - 1,Team.Intro,Team.CryingWalk - 1,Team.CellphoneStory,Team.NoHelpBoxes - 1,Team.GroceriesSurgery - 1,Team.MedicineCold,Team.FindGift - 1,FWB.Intro,FWB.CryingWalk - 1,FWB.CellphoneStory - 1,FWB.NoHelpBoxes - 1,FWB.GroceriesSurgery - 1,FWB.MedicineCold - 1,FWB.FindGift - 1,Strange.Intro,Strange.CryingWalk - 1,Strange.CellphoneStory - 1,Strange.NoHelpBoxes - 1,Strange.GroceriesSurgery - 1,Strange.MedicineCold - 1,Strange.FindGift - 1,"You are now more than halfway through the survey.

Now please assess the following statements and indicate how strongly you agree / disagree with them.",IB.Kidney,IB.Planet,IB.FailHelp,IB.Donate,IB.Leg,IH.HarmHelp,IH.Political,IH.Torture,IH.CollatDamage,CheckNo3,L.RoomHous.Groceries - 1,L.RoomHous.FindGift - 1,L.RoomHous.MedicineCold - 1,L.Sib.GroceriesSurgery - 1,L.Sib.FindGift - 1,L.Sib.MedicineCold - 1,L.Friends.GroceriesSurgery - 1,L.Friends.FindGift - 1,L.Friends.MedicineCold - 1,L.EmployBoss.GroceriesSurgery - 1,L.EmployBoss.FindGift - 1,L.EmployBoss.MedicineCold - 1,L.Team.GroceriesSurgery - 1,L.Team.FindGift - 1,L.Team.MedicineCold - 1,L.Strange.GroceriesSurgery - 1,L.Strange.FindGift - 1,L.Strange.MedicineCold - 1,L.FWB.GroceriesSurgery - 1,L.FWB.FindGift - 1,L.FWB.MedicineCold - 1,L.Romance.GroceriesSurgery - 1,L.Romance.FindGift - 1,L.Romance.MedicineCold - 1,L.FatherChild.GroceriesSurgery - 1,L.FatherChild.FindGift - 1,L.FatherChild.MedicineCold - 1,L.MotherChild.GroceriesSurgery - 1,L.MotherChild.FindGift - 1,L.MotherChild.MedicineCold - 1,Now please answer the following questions regarding COVID-19.,How true are the following statements with regard to how you have been responding to the COVID-19 pandemic? - I am avoiding non-essential travel,How true are the following statements with regard to how you have been responding to the COVID-19 pandemic? - I am staying home as much as possible,"How true are the following statements with regard to how you have been responding to the COVID-19 pandemic? - I am extremely careful to keep my distance from others, including even friends and family","How true are the following statements with regard to how you have been responding to the COVID-19 pandemic? - If I have to leave the house, I make sure to stay at least 6 feet away from other people",How true are the following statements with regard to how you have been responding to the COVID-19 pandemic? - I have almost zero in-person social interactions with people I am not living with,"How true are the following statements with regard to how you have been responding to the COVID-19 pandemic? - Most days, I do not leave my house",Covid.Responsibility,Covid.Threat,How much of a threat do you think COVID-19 is for people in your community?,feeling,gender - Selected Choice,"gender - Other, please specify: - Text",age,race - Selected Choice,"race - Other, please specify: - Text",marital,children,caregiver,education,income,How would you describe your political beliefs?,religiosity,Bot.CheckFriday,Bot.CheckFriday2,Feedback1,Feedback2,"In order to receive payment for this study, you will have to use this ID: [Field-Random%20ID]
 

Please write this code down and enter it into the computer when prompted.",Random ID
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID19""}","{""ImportId"":""QID119""}","{""ImportId"":""QID154""}","{""ImportId"":""QID142""}","{""ImportId"":""QID180""}","{""ImportId"":""QID209""}","{""ImportId"":""QID89_1""}","{""ImportId"":""QID90_1""}","{""ImportId"":""QID92_1""}","{""ImportId"":""QID244_1""}","{""ImportId"":""QID246_1""}","{""ImportId"":""QID323_1""}","{""ImportId"":""QID232""}","{""ImportId"":""QID233_1""}","{""ImportId"":""QID234_1""}","{""ImportId"":""QID235_1""}","{""ImportId"":""QID248_1""}","{""ImportId"":""QID250_1""}","{""ImportId"":""QID324_1""}","{""ImportId"":""QID251""}","{""ImportId"":""QID252_1""}","{""ImportId"":""QID253_1""}","{""ImportId"":""QID254_1""}","{""ImportId"":""QID255_1""}","{""ImportId"":""QID256_1""}","{""ImportId"":""QID325_1""}","{""ImportId"":""QID257""}","{""ImportId"":""QID258_1""}","{""ImportId"":""QID259_1""}","{""ImportId"":""QID260_1""}","{""ImportId"":""QID261_1""}","{""ImportId"":""QID262_1""}","{""ImportId"":""QID326_1""}","{""ImportId"":""QID263""}","{""ImportId"":""QID264_1""}","{""ImportId"":""QID265_1""}","{""ImportId"":""QID266_1""}","{""ImportId"":""QID267_1""}","{""ImportId"":""QID268_1""}","{""ImportId"":""QID327_1""}","{""ImportId"":""QID269""}","{""ImportId"":""QID270_1""}","{""ImportId"":""QID271_1""}","{""ImportId"":""QID272_1""}","{""ImportId"":""QID273_1""}","{""ImportId"":""QID274_1""}","{""ImportId"":""QID328_1""}","{""ImportId"":""QID275""}","{""ImportId"":""QID276_1""}","{""ImportId"":""QID277_1""}","{""ImportId"":""QID278_1""}","{""ImportId"":""QID279_1""}","{""ImportId"":""QID280_1""}","{""ImportId"":""QID329_1""}","{""ImportId"":""QID281""}","{""ImportId"":""QID282_1""}","{""ImportId"":""QID283_4""}","{""ImportId"":""QID284_1""}","{""ImportId"":""QID285_1""}","{""ImportId"":""QID286_2""}","{""ImportId"":""QID330_1""}","{""ImportId"":""QID287""}","{""ImportId"":""QID288_1""}","{""ImportId"":""QID289_1""}","{""ImportId"":""QID290_1""}","{""ImportId"":""QID291_1""}","{""ImportId"":""QID292_1""}","{""ImportId"":""QID331_1""}","{""ImportId"":""QID293""}","{""ImportId"":""QID294_1""}","{""ImportId"":""QID295_1""}","{""ImportId"":""QID296_1""}","{""ImportId"":""QID297_1""}","{""ImportId"":""QID298_1""}","{""ImportId"":""QID332_1""}","{""ImportId"":""QID201""}","{""ImportId"":""QID185""}","{""ImportId"":""QID186""}","{""ImportId"":""QID187""}","{""ImportId"":""QID188""}","{""ImportId"":""QID189""}","{""ImportId"":""QID190""}","{""ImportId"":""QID191""}","{""ImportId"":""QID192""}","{""ImportId"":""QID194""}","{""ImportId"":""QID396""}","{""ImportId"":""QID164_1""}","{""ImportId"":""QID166_1""}","{""ImportId"":""QID167_1""}","{""ImportId"":""QID337_1""}","{""ImportId"":""QID338_1""}","{""ImportId"":""QID339_1""}","{""ImportId"":""QID349_1""}","{""ImportId"":""QID350_1""}","{""ImportId"":""QID351_1""}","{""ImportId"":""QID352_1""}","{""ImportId"":""QID353_1""}","{""ImportId"":""QID354_1""}","{""ImportId"":""QID355_1""}","{""ImportId"":""QID356_1""}","{""ImportId"":""QID357_1""}","{""ImportId"":""QID361_1""}","{""ImportId"":""QID362_1""}","{""ImportId"":""QID363_1""}","{""ImportId"":""QID358_1""}","{""ImportId"":""QID359_1""}","{""ImportId"":""QID360_1""}","{""ImportId"":""QID346_1""}","{""ImportId"":""QID347_1""}","{""ImportId"":""QID348_1""}","{""ImportId"":""QID340_1""}","{""ImportId"":""QID341_1""}","{""ImportId"":""QID342_1""}","{""ImportId"":""QID343_1""}","{""ImportId"":""QID344_1""}","{""ImportId"":""QID345_1""}","{""ImportId"":""QID322""}","{""ImportId"":""QID405_1""}","{""ImportId"":""QID405_2""}","{""ImportId"":""QID405_3""}","{""ImportId"":""QID405_4""}","{""ImportId"":""QID405_5""}","{""ImportId"":""QID405_6""}","{""ImportId"":""QID320""}","{""ImportId"":""QID321""}","{""ImportId"":""QID406""}","{""ImportId"":""QID365""}","{""ImportId"":""QID366""}","{""ImportId"":""QID366_7_TEXT""}","{""ImportId"":""QID367""}","{""ImportId"":""QID368""}","{""ImportId"":""QID368_9_TEXT""}","{""ImportId"":""QID370""}","{""ImportId"":""QID371""}","{""ImportId"":""QID394""}","{""ImportId"":""QID372""}","{""ImportId"":""QID373""}","{""ImportId"":""QID407""}","{""ImportId"":""QID380""}","{""ImportId"":""QID400_TEXT""}","{""ImportId"":""QID401_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID178""}","{""ImportId"":""Random ID""}"
2020-04-30 12:25:10,2020-04-30 12:47:00,Survey Preview,100,1310,True,2020-04-30 12:47:01,R_DTUhAK0bBCz2bBL,preview,EN,Yes,I understand,Imagine that a person loudly says that they are embarrassed to be seen with someone else.,,"No, those were just examples of the kind of sentence I will rate in this study",,I understand,-54,-57,-50,14,4,59,I understand,-100,-100,-13,61,56,48,I understand,-100,-100,-8,0,18,37,I understand,-100,-100,-4,0,0,8,I understand,-99,-100,-26,75,27,25,I understand,-100,-100,-50,30,31,65,I understand,-8,-23,3,55,32,53,I understand,-78,-55,-29,78,79,51,I understand,-26,-25,-25,36,49,39,I understand,0,-21,-26,100,24,53,I understand,,,,,,,,,,,100,100,100,52,100,52,100,100,100,100,25,-100,79,76,75,-100,-100,-100,26,50,8,100,100,100,100,100,100,100,100,100,I understand,,,,,,,,,,2,Female,,18,White,,Single,No Children,No,Some college,"$5,000-$10,000",,Not at all religious1,,,,,I understand,11906
2020-05-14 12:56:18,2020-05-17 00:01:55,IP Address,100,212736,True,2020-05-17 00:01:56,R_2CrBZPYHiA4drUF,anonymous,EN,Yes,I understand,Imagine that a person loudly says that they are embarrassed to be seen with someone else.,,"Yes, I will be asked to rate the exact sentences I just saw","No, those were just examples of the kind of sentence I will rate in this study",I understand,35,-16,-19,20,-3,18,I understand,11,16,37,30,13,20,I understand,9,26,26,23,24,24,I understand,10,-7,-13,13,9,-12,I understand,-14,18,25,-13,-10,19,I understand,19,15,15,33,4,22,I understand,-11,-3,1,80,32,69,I understand,30,40,30,-12,-17,-27,I understand,21,23,11,25,17,25,I understand,2,-35,-1,95,87,82,I understand,7= strongly agree,5,5,7= strongly agree,1 = strongly disagree,7= strongly agree,7= strongly agree,4 = neither agree nor disagree,5,5,26,36,24,47,22,32,44,38,16,46,39,22,11,31,18,33,55,31,19,14,34,53,50,37,43,41,21,25,30,34,I understand,5,5,5,5,5,5,7 = extremely responsible,7 = extremely threatening,7 = extremely threatening,6,Male,,21,"Asian,Prefer not to say",,Single,3 Children,No,Elementary/Middle School,"$5,000-$10,000","7
Very Conservative/Right
",Very Religious7,asdl;kfj,asdf,i don't,asdf,I understand,32983
2020-05-17 00:07:50,2020-05-17 00:18:00,IP Address,100,609,True,2020-05-17 00:18:01,R_2DP7jzvlNn6PbmQ,anonymous,EN,Yes,I understand,Imagine that a person loudly says that they are embarrassed to be seen with someone else.,,"No, those were just examples of the kind of sentence I will rate in this study",,I understand,0,-3,-6,25,26,25,I understand,-51,-24,-15,25,29,30,I understand,-24,-49,-40,0,0,32,I understand,-52,-50,-45,52,5,50,I understand,-83,-74,-59,12,24,53,I understand,-40,-23,-18,52,26,25,I understand,0,-6,-52,50,51,51,I understand,-26,-28,-21,25,26,25,I understand,-20,-12,-8,27,27,27,I understand,0,0,-9,62,54,27,I understand,2,5,3,6,4 = neither agree nor disagree,4 = neither agree nor disagree,1 = strongly disagree,2,4 = neither agree nor disagree,7= strongly agree,50,0,26,51,51,26,79,77,76,-77,15,-78,52,52,0,-100,-100,-100,0,0,0,100,100,100,100,53,100,100,77,100,I understand,Very true,8,8,8,8,7,5,2,4 = somewhat threatening,3,Male,,31,White,,Single,No Children,No,4 year degree,"$65,001-$80,000","1

Very Liberal/Left
",Not at all religious1,Friday,FRIDAY,morality in connection to relationships,no,I understand,28368
2020-05-17 00:06:47,2020-05-17 00:18:56,IP Address,100,729,True,2020-05-17 00:18:57,R_2RagKPp8PI8jOUC,anonymous,EN,Yes,I understand,Imagine that a person loudly says that they are embarrassed to be seen with someone else.,,"No, those were just examples of the kind of sentence I will rate in this study",,I understand,-49,-96,-71,100,100,88,I understand,-47,-56,-27,17,43,34,I understand,-100,-100,-100,16,5,8,I understand,-100,-100,-100,5,11,25,I understand,-100,-100,-99,63,54,86,I understand,-100,-79,-78,66,79,67,I understand,-24,-45,-60,99,28,52,I understand,-2,-8,-92,96,77,82,I understand,-76,-93,-51,100,100,100,I understand,-1,-10,-29,92,52,53,I understand,5,7= strongly agree,5,7= strongly agree,3,5,5,2,5,7= strongly agree,53,28,83,73,42,75,100,100,100,-100,-51,-29,26,-41,26,-100,-80,-66,76,55,75,100,100,100,99,35,84,100,95,95,I understand,Very true,Very true,Very true,Very true,Very true,Very true,5,5,5,4,Female,,38,White,,Single,No Children,Yes,Postgraduate/Professional degree or other higher education,"$25,001-$35,000","1

Very Liberal/Left
",Not at all religious1,FRIDAY,,People's ideas of morality,nothing comes to mind,I understand,22556
2020-05-17 00:08:19,2020-05-17 00:20:54,IP Address,100,755,True,2020-05-17 00:20:55,R_3fNOuozFxciaP24,anonymous,EN,Yes,I understand,Imagine that a person loudly says that they are embarrassed to be seen with someone else.,,"No, those were just examples of the kind of sentence I will rate in this study",,I understand,-28,-19,-18,29,24,18,I understand,-20,-21,-25,19,26,31,I understand,-30,-26,-34,50,26,61,I understand,-51,-40,-36,46,27,20,I understand,-44,-28,-32,21,27,28,I understand,-26,-25,-19,34,19,20,I understand,-12,-53,-26,49,25,37,I understand,-26,-27,-26,28,28,29,I understand,-26,-14,-13,29,12,19,I understand,-9,-6,-18,21,11,13,I understand,4 = neither agree nor disagree,5,3,3,5,4 = neither agree nor disagree,3,6,5,7= strongly agree,17,20,24,39,49,39,31,27,22,17,13,21,18,27,26,10,19,9,16,8,11,50,54,53,72,62,63,95,100,97,I understand,4,4,4,6,4,6,1 = not responsible at all,1 = not threatening at all,1 = not threatening at all,2,Male,,36,Asian,,Married or domestic partnership,2 Children,No,Postgraduate/Professional degree or other higher education,"$35,001-$50,000","7
Very Conservative/Right
",Very Religious7,FRIDAY,,"People's gauge of how their helpfullness or lack there of changes based upon who is being ""helped""",none,I understand,31200
2020-05-17 00:08:25,2020-05-17 00:21:13,IP Address,100,768,True,2020-05-17 00:21:13,R_3pm5YCIP80CRW0z,anonymous,EN,Yes,I understand,Imagine that a person loudly says that they are embarrassed to be seen with someone else.,,"No, those were just examples of the kind of sentence I will rate in this study",,I understand,-100,-100,-85,100,84,100,I understand,-100,-97,-98,100,100,100,I understand,-71,-100,-100,100,100,100,I understand,-100,-81,-91,100,100,100,I understand,-100,-100,-100,100,100,100,I understand,100,-90,100,100,100,100,I understand,-100,-100,-100,100,100,92,I understand,-100,-100,-100,100,90,93,I understand,100,-51,91,100,100,100,I understand,-100,-100,-100,100,100,100,I understand,3,6,7= strongly agree,4 = neither agree nor disagree,2,6,6,4 = neither agree nor disagree,5,7= strongly agree,100,100,100,99,100,100,90,96,100,100,100,100,100,100,100,100,100,100,59,86,100,100,99,100,100,100,100,100,100,100,I understand,5,8,3,2,2,Not at all true,7 = extremely responsible,6,7 = extremely threatening,3,Male,,25,White,,Single,No Children,No,4 year degree,"$25,001-$35,000","1

Very Liberal/Left
",6,FRIDAY,,Opinion on people,,I understand,68637
2020-05-17 00:12:56,2020-05-17 00:21:19,IP Address,100,503,True,2020-05-17 00:21:19,R_RPOZtm0vWUtEjPX,anonymous,EN,Yes,I understand,Imagine that a person loudly says that they are embarrassed to be seen with someone else.,,"Yes, I will be asked to rate the exact sentences I just saw","No, those were just examples of the kind of sentence I will rate in this study",I understand,27,36,40,41,2,41,I understand,26,31,27,26,21,29,I understand,52,55,32,57,27,36,I understand,34,35,43,45,37,33,I understand,30,43,31,40,38,44,I understand,27,30,45,39,36,37,I understand,39,28,32,40,24,39,I understand,38,23,23,28,42,41,I understand,39,36,30,37,26,33,I understand,18,17,28,20,32,27,I understand,5,6,5,5,5,5,5,4 = neither agree nor disagree,5,7= strongly agree,31,20,33,30,37,44,23,41,23,40,36,31,26,28,41,30,28,31,37,26,27,18,44,33,29,40,31,30,31,29,I understand,4,4,5,6,6,7,5,5,6,4,Male,,48,White,,Married or domestic partnership,1 Child,Yes,4 year degree,"Over $100,000",5,5,FRIDAY,,good,good,I understand,66802
2020-05-17 00:09:08,2020-05-17 00:21:32,IP Address,100,744,True,2020-05-17 00:21:32,R_1g7vOztr48zJNSr,anonymous,EN,Yes,I understand,Imagine that a person loudly says that they are embarrassed to be seen with someone else.,,"Yes, I will be asked to rate the exact sentences I just saw","No, those were just examples of the kind of sentence I will rate in this study",I understand,75,61,25,23,69,68,I understand,51,61,45,40,68,49,I understand,-39,-35,48,56,34,20,I understand,-41,-36,28,-24,-22,46,I understand,46,35,79,70,65,46,I understand,54,41,27,48,32,48,I understand,55,63,14,65,25,71,I understand,52,36,57,54,32,53,I understand,54,49,50,61,28,31,I understand,29,-14,69,17,-34,-21,I understand,7= strongly agree,7= strongly agree,6,7= strongly agree,6,7= strongly agree,7= strongly agree,6,6,7= strongly agree,78,43,53,91,59,80,71,77,35,72,86,60,52,67,80,76,54,53,56,64,66,55,84,65,55,91,83,43,63,72,I understand,8,Very true,8,7,7,8,5,6,6,2,Male,,36,White,,Married or domestic partnership,1 Child,No,Postgraduate/Professional degree or other higher education,"Over $100,000",6,Very Religious7,FRIDAY,,Rate actions within everyday relationships ,VERY INTERESTING,I understand,69165
